Question,Answer
"Quel est le montant horaire du versement santé dû à un salarié en CDD, dans une entreprise dont la participation employeur à la mutuelle est de 5€ ?","montant du versement santé = calcul mensuel selon la formule « montant de référence » * « coefficient de majoration » (105% ou 125% selon les cas)
définition montant de référence = contribution que l’employeur aurait versé à la mutuelle pour le salarié, sans être <  21,50 € en 2025 (ou 7,18 € en Alsace Moselle) proratisé en fonction du temps de présence du salarié sur le mois (avec max. 151,67 heures)
Calcul du montant de référence dans notre cas : 5 € < 21,50 € (et < 7,18 € su Alsace Moselle) (
Coefficient de majoration pour un CDD = 125%
Montant horaire du versement santé = 21,50 € * 125% / 151,67 heures = 0,1771 centimes par heure de travail si hors Alsace Moselle et 7,18 € * 125% / 151,67 heures = 0,0591 en Alsace-Moselle"
"J’ai 2 rubriques différentes pour payer l’abonnement transport de mes 2 salariés permanents. Le montant de ces abonnements vient de changer au 1er juillet. Pour mon premier salarié, j’arrive à modifier le montant qui s’affiche directement dans sa paie. Par contre, pour le second salarié, je n’arrive pas à modifier ce montant qui reste bloqué sur l’ancien montant. J’aimerais comprendre pourquoi ?","abonnements transports en général payés par des « rubriques automatiques » (ce qui explique qu’un montant s’affiche automatiquement)
rubrique modifiable sans doute paramétrée avec une « valeur par défaut »
vérifiable en regardant les menu déroulant de la zone « Montant » de la rubrique qui doit être positionner sur « valeur par défaut »
si c’est bien une « valeur par défaut », possibilité d’inscrire le nouveau montant directement dans la rubrique en écrasant l’ancien montant sans risque.
ou de le modifier uniquement dans la paie ou la fiche contrat
rubrique non modifiable sans doute paramétrée sur un « chiffres clés »
vérifiable en regardant les menu déroulant de la zone « Montant » de ta rubrique qui doit être positionner sur « chiffres clés»
si « chiffres clés », alors montant non modifiable dans paie ou contrat mais à modifier dans les chiffres clés (menu paramètres / chiffres clés soit dans onglet principal soit onglet Personnalisé) 
inscription nouveau montant et date du changement (1er juillet selon question)"
Comment changer mon taux AT ?,"Accéder à fiche société / onglet Paramétrages
Click sur icône « lunette » pour passer en modification
renseigner le code risque de votre AT et son type
renseigner nouveau taux AT sur une nouvelle ligne du tableau dédié et date d’application de ce taux
Valider la fiche société
Si paies postérieures à cette date d’application -> en théorie à recalculer si pas encore déclarées en DSN"
"Je suis adhérent du Syndicat des Producteurs indépendant et je dois, à ce titre, cotiser à la cotisation SPI à 0,50% qui est entrée en DSN depuis 2024 mais que je n’ai jamais paramétré dans sPAIEctacle. Peux-tu m’aider à paramétrer cette retenue ?","Dans ce cas il n’y pas assez de données dans la réponse le LLM doit demander:
Êtes-vous en mono ou multi-société ? "
"Je suis adhérent du Syndicat des Producteurs indépendant et je dois, à ce titre, cotiser à la cotisation SPI à 0,50% qui est entrée en DSN depuis 2024 mais que je n’ai jamais paramétré dans sPAIEctacle. Peux-tu m’aider à paramétrer cette retenue sachant que je suis en multi-sociétés ?","savoir s’il existe déjà un niveau dédié aux retenues en rapport avec l’adhésion à un syndicat.
Si « non », création du niveau préalable (avec groupe par défaut « non soumis »)
Si « oui », vérification qu’il n’existe pas de groupe « SPI »
Si « non », création du groupe « SPI » sur le niveau existant ou précédemment créé
Affectation du groupe « SPI » dans la fiche société / onglet « paramétrage »
Création de la retenue SPI : 
type « Audiens »
taux employeur à 0,50 »% 
début d’application : date à laquelle vous voulez appliquer la retenue
base « salaire abattu (abattement plafonné) » > « Brut »,
spécificité « AGEPRO - SPI » (ça permettra d’affecter la bonne référence contrat SPI1 dans l’onglet « particularités)
champs d’application : il convient a priori de tout cocher sur l’ensemble des 4 colonnes
niveau : sélectionner le niveau existant ou celui créé et cocher le groupe « SPI » créé
recalcul éventuel des paies déjà saisie sur le mois d’application (si la DSN n’est pas déposée)
mise en relation avec Audiens pour voir comment gérer la non-déclaration du SPI depuis 2024
au moment de la prochaine DSN, possibilité de visualiser les cotisations SPI en double-cliquant sur la ligne Audiens prévoyance."
Comment retrouver les sauvegardes automatiques de mon fichier de données ? ,"en monoposte, le fichier de sauvegarde est un fichier dont le nom prend la forme suivante : ""Mespaies-date.spk""
les fichiers de sauvegarde avec l’extension .spk se trouvent dans un dossier « sauvegarde » situé à côté du fichier de données .4DD
en multipostes, Les fichiers de sauvegarde ont pour extension .4BK et sont numérotés entre crochets : ""Nom du fichier de paie [0001].4BK"".
Les fichiers de sauvegarde paramétrés depuis le serveur sont stockés à l'emplacement défini lors de leur mise en place
Les fichiers de sauvegarde paramétrés depuis les clients sont stockés dans un dossier Backup situé sur le poste serveur, au même emplacement que le fichier de données."
Je cherche le code de ma caisse de médecine du travail. Peux-tu m’aider dans cette recherche ? ,Lien vers la liste des codes des caisses de médecine du travail est disponible sur cette page : https://docutheque.ghs.fr/manuel/etats/dsn-mensuelle/dns-mensuelle-nomenclatures/
Je souhaite payé mon apprenti 200 euros de plus que ce qui est prévu par sa convention (67% du smic). Quelle rubrique utiliser ?,"Utiliser une rubrique de gratification apprenti « manuelle »
C’est-à-dire non indexé sur le smic (= rubrique non « interactive ») 
menu déroulant de la zone montant doit être sur « (aucun) »(et non sur « chiffre clé »)"
Ça fait longtemps que je n’avais pas embauché des serveurs en CDD extra et je ne sais plus comment imprimer leur attestation Assedic depuis le logiciel. Peux-tu me guider ? ,"l’édition papier Attestation Assedic CDD en extra est supprimée depuis 2021
déclaration des fins de contrats en CDD d’usage doit être faite via l’AED ou via le circuit dérogatoire proposé par Pôle Emploi (=France Travail) en DSN mensuelle
Le circuit dérogatoire permet : 
D’éviter le signalement à chaque fin de contrat
De déclarer les fins de contrats via la DSN mensuelle
De regrouper sur une même attestation l’ensemble des contrats d’un même mois pour un même salarié.
Cette procédure est automatique pour toutes les DSN générées avec sPAIEctacle - les fins de contrats des CDD d'usage dont toutes les paies sont réglées sur le mois, sont aiguillées vers le circuit dérogatoire.
Veux-tu que je t’explique plus cette nouvelle fonctionnalité ?"
La prime de précarité de ma dernière paie d’apprenti se calcule à 0. J’utiliser pourtant bien la rubrique « ppa » qui d’habitude se calcule automatiquement à 10% du brut du contrat. Je ne comprends pas pourquoi ?,"Légalement, la prime de précarité n’est pas due pour un apprenti : pas d’obligation de la verser.
Techniquement : rubrique interactive « ppa » se calcule à 0 si «  base de salaire » « précarité » (sur laquelle se calcule la « ppa ») n’est pas cochée dans rubrique « gratification apprenti »."
"Dans les prochains mois, je vais embaucher un groupe de musique composé de 4 musiciens, 1 technicien lumière et 1 technicien son. Je vais devoir leur faire des DPAE, des contrats et des paies à chaque date de leur tournée et je trouve compliqué de devoir sélectionner ces 6 personnes parmi tous mes salariés à chaque fois. Existe-t-il une fonctionnalité pour les regrouper afin de gagner du temps ? Plus largement, je cherche d’ailleurs à optimiser tout le processus d’embauche pour ces 6 salariés : DPAE > contrats > paies > remise de documents aux salariés. 
Peux tu m’aider ?","listes personnalisées (description de l’icône et du fonctionnement) permettent de regrouper ses 6 salariés pour les retrouver facilement
« contrat multiple » ou « saisie de contrat en tableau » permettent d’automatiser la création de contrat
Export fichier DPAE et transmission Urssaf en MtoM permettent d’automatiser l’envoi des DPAE
« signature électronique » permet l’automatisation des signatures de contrat (module payant)
« paies sur liste automatique » permet l’automatisation de la création de paie
« Envoi des documents de paie via transat » facilite et automatise remise documents aux salariés
Éventuel intérêt pour : 
« demande d’état civil »
« demande d’abattement »
Déclaration d’impôts
Existence d’outils de suivi et de correction facilitant les vérification de ce qui est fait / reste à faire."
Qu’est ce qui peut expliquer que mes retenues de mutuelle (=santé) ne partent pas dans mon fichier de DSN du mois alors que les retenues de mutuelle sont bien calculées dans mes paies du mois ?,"2 possibilités : 

1° option « hors dsn » cochée à tort dans la caisse
Une option « Hors DSN » des caisses de type Santé permet d’exclure les cotisations liées de la DSN
Vérification : aller dans Paramètres / paramétrage de la paie / caisse
Ouvrir la caisse de mutuelle en question
Regarder si la boite à cocher « Hors DSN » est cochée ou pas
La décocher si on veut que cotisations partent en DSN
2° type « santé » mal paramétré sur onglet « Caisses » de la « Fiche société »
Pour que retenues de « santé » partent en DSN, le type santé doit être paramétré avec : 
Une périodicité (mois, trimestre, …) et non en « pas de déclaration »
La colonne « Paiement/options » doit être positionné sur l’un des choix « DSN (règlement par virement) » ou « DSN (prélèvement SEPA » (et non sur « (hors dsn) »)"
"J’ai souscrit au service « Congés et Absences » mais quand je fait la mise à jour des congés de mes paies, mes absences remontent bien mais pas ma valorisation. Peux-tu m’expliquer pourquoi ? ","Mise à jour des congés nécessite d’avoir effectué le typage des rubriques à importer
Rubrique d’absence a l’air « typé » mais rubrique de valorisation ne doit pas l’être
Cf. manuel de référence de congés et absences"
"Quand je lance ma DSN, j’ai ce message d’erreur que je ne comprends pas : « !! Votre fiche paramétrage Audiens porte la référence contrat [FCAPEAC] alors que la retenue correspondante n'est pas paramétrée ». Que faire ? ","FCAP : Fonds commun d’aide au paritarisme = cotisation paritarisme  obligatoire pour entreprises de la CCN EAC (Entreprises Artistiques et Culturelles - IDCC n° 1285)
= 0,25% des salaires bruts de l’ensemble des salarié.
Intégré à la DSN depuis le 01/04/2024 avec référence contrat « FCAPEAC », recouvré par Audiens 
Message d’erreur signifie que caisse Audiens appelle cette cotisation FCAP EAC alors que cotisation non paramétrée dans les paies
2 possibilités : 
Entreprise relevant de la CCN EAC -> nécessité de paramétrer la retenue et recalcul paie du mois (éventuel appel maintenance pour plus de précisions)
Entreprises ne relevant pas de la CCN EAC - > non concernée par cette retenue. Possibilité qu’Audiens ait ajouté référence FCAPEAC à fiche paramétrage si déclaration contrat IDCC 12852 au cours des 12 derniers mois -> point avec la caisse et « poursuivre malgré les erreurs » (pas certain que l’IA puisse trouver ce « poursuivre malgré les erreurs »)"
Comment gérer un arrêt maladie pour un intermittent ? ,"Depuis 01/04/25, si intermittent sous contrat au moment de l’arrêt maladie : 
obligation de déclarer arrêt dans DSN mensuelle 
obligation de cotiser à aux congés spectacles sur la base de 80% de rémunération initialement prévue au contrat
pas d’obligation de maintien de salaire (sauf accord particulier)
Mise en garde : que pour arrêts déclarés par le salarié, notamment à France Travail (=Pole emploi)
Nécessite donc saisie d’un événement « arrêt de travail » (= déclenchement d’un bloc 60 dans DSN mensuelle)
Mise en garde : Aucune DSN événementielle à produire
Réalisation de la paie en suivant la fiche solution (avec utilisation rubriques Malin- et Malin-) (=cotiser à 80% des congés spectacles)"
"Un intermittent n’honore pas son contrat car il est en arrêt maladie. Puis-je lui maintenir son salaire ? Si « oui », suffit-il de faire la paie comme s’il avait travaillé ? ","pas d’obligation de maintien de salaire (sauf accord particulier)
mais possibilité de faire maintien si employeur le souhaite
paie particulière (différente de « comme s’il avait travaillé ») car maintien = autres rémunérations sur AEM
NB : nécessité de connaitre le montant des IJ pour réaliser la paie
cf. fiche solution « Arrêts maladie des salariés intermittents du spectacle » "
Je reçois une prolongation d’arrêt maladie d’un de mes salariés. Dois-je lui créer un nouvel arrêt ? ,"Pas de nouveau signalement à faire (=rien à redéposer)
Juste Décaler la date de fin de l’événement initial afin d’alimenter la dsn mensuelle"
"En exportant une DSN, j’ai cette anomalie « !! Diplôme préparé non renseigné pour un contrat d’apprentissage ».","pour apprentis, précision « diplôme préparé » est obligatoire pour DSN
double click sur l’erreur du contrôle de cohérence -> contrat
ouvrir contrat, passer en modification, renseigner « Diplôme » et valider
« valider correction » sur contrôle de cohérence"
J’ai oublié de faire une paie le mois dernier. Comment rattraper mon erreur ?,"Création paie avec dates réellement travaillées MAIS avec date de règlement sur le mois courant
La date de règlement sur le mois courant permet à la paie de partir avec DSN du mois courant"
"Mon salarié est en maladie depuis plus de 3 mois et je ne maintiens plus son salaire. Sur le mois de décembre, je vais faire une paie à zéro. Quelles rubriques dois-je utiliser ?","Rubrique pour déduction de l’absence sans maintien = AbMa
Mise en garde : rubrique paramétrée en 30e -> quantité égale à 30 pour mettre le mois à 0, même si mois de décembre = 31 jours.
Penser à forcer plafond à 0
Mise en garde 2 : les paies de maladies étant complexes, lire fiche solution et/ou appeler maintenance."
